...1,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q31,Q32_1,Q32_2,Q34,Q35,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_DO,Q3.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.2_DO,Q3.2,Q4,Q5,Q5_3_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q10,Q11,Q12,FL_35_DO,ill_honest,undoc_honest,honest,ill_hardworking,undoc_hardworking,hardworking,ill_unlawful,undoc_unlawful,unlawful,ill_violent,undoc_violent,violent,ill_intelligent,undoc_intelligent,intelligent,ill_uneducated,undoc_uneducated,uneducated,ill_lazy,undoc_lazy,lazy,ill_immoral,undoc_immoral,immoral,ill_loyal,undoc_loyal,loyal,ill_responsible,undoc_responsible,responsible,ID,Treatment,Response,Hispanic/Latino,Not Hispanic/Latino,Latin America,Europe,Middle East,Asia,Third-world/poor country,Construction,Food,Gardener,Maid,Unemployed,Job Americans Don't Want,Hardworking,Honest,Loyal,Intelligent,Responsible,Immoral,Lazy,Uneducated,Unlawful,Violent,Family-oriented,Religious/church-going,Poor/low socio-economic status,Stealing American's Jobs,Seeking welfare,Better life,Fleeing/escaping hardship,"No ""typical"" unauthorized immigrant",Criticize US immigration process,"Risk-taking, brave",Contributions to U.S.,Are trying or should try to become legal,Nobody illegal on stolen land,US doesn't treat well,American dream,Unfair/disrespectful to legal immigrants and citizens,Anti-unauthorized immigration = racism,Respondent talks about their connection/experience,Opposition to terminology
NA,11/17/20 17:59,11/17/20 18:04,100,342,TRUE,11/17/20 18:04,anonymous,EN,NA,Yes,Yes,NA,11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5 (very well),4,1 (not well at all),4,2,1 (not well at all),1 (not well at all),2,2,Responsible|Unlawful|Loyal|Uneducated|Intelligent|Hardworking|Immoral|Violent|Honest|Lazy,"I don’t have a strong opinion on illegal immigrants- I think it should be easier to become a US citizen, so we don’t have such a difficult time with this issue",19,Male,NA,White,No,Democrat,NA,NA,Liberal,NA,"My parents, grandparents and I were all born in the USA.",C2,NA,2,2,NA,5,5,NA,4,4,NA,1,1,NA,4,4,NA,2,2,NA,1,1,NA,1,1,NA,2,2,NA,2,2,4dMaH,T2,"I don’t have a strong opinion on illegal immigrants- I think it should be easier to become a US citizen, so we don’t have such a difficult time with this issue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:09,11/17/20 18:13,100,238,TRUE,11/17/20 18:13,anonymous,EN,NA,Yes,Yes,NA,11/17/20,3,5 (very well),2,3,4,2,3,4,4,4,Uneducated|Unlawful|Immoral|Loyal|Responsible|Violent|Hardworking|Honest|Lazy|Intelligent,Hardworking in pursuit of a better life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female,NA,Black or African American,No,Democrat,NA,NA,Slightly liberal,NA,"My parents, grandparents and I were all born in the USA.",C5,3,NA,3,5,NA,5,2,NA,2,3,NA,3,4,NA,4,2,NA,2,3,NA,3,4,NA,4,4,NA,4,4,NA,4,8wQnr,T5,Hardworking in pursuit of a better life,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:14,11/17/20 18:16,100,160,TRUE,11/17/20 18:16,anonymous,EN,NA,Yes,Yes,NA,11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5 (very well),1 (not well at all),1 (not well at all),4,2,1 (not well at all),1 (not well at all),4,4,Uneducated|Unlawful|Immoral|Responsible|Intelligent|Violent|Honest|Lazy|Loyal|Hardworking,"Intelligent in their own way, hardworking, and willing to make sacrifices in order to better their lives or the lives of their families",21,Female,NA,Other,Yes,Democrat,NA,NA,Liberal,NA,"I was born in the USA, but at least one of my parents is an immigrant",C4,NA,3,3,NA,5,5,NA,1,1,NA,1,1,NA,4,4,NA,2,2,NA,1,1,NA,1,1,NA,4,4,NA,4,4,6YGuu,T4,"Intelligent in their own way, hardworking, and willing to make sacrifices in order to better their lives or the lives of their families",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:19,11/17/20 18:23,100,185,TRUE,11/17/20 18:23,anonymous,EN,NA,Yes,Yes,NA,11/17/20,2,4,4,2,3,3,1 (not well at all),2,3,3,Honest|Unlawful|Responsible|Immoral|Intelligent|Loyal|Uneducated|Lazy|Violent|Hardworking,either someone from Mexico or Canada who crossed the border illegally or someone who stayed past the expiration of their visa without renewal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male,NA,White,No,Republican,NA,NA,Slightly conservative,NA,"My parents, grandparents and I were all born in the USA.",C3,2,NA,2,4,NA,4,4,NA,4,2,NA,2,3,NA,3,3,NA,3,1,NA,1,2,NA,2,3,NA,3,3,NA,3,P1Tjg,T3,either someone from Mexico or Canada who crossed the border illegally or someone who stayed past the expiration of their visa without renewal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:23,11/17/20 18:25,100,106,TRUE,11/17/20 18:25,anonymous,EN,NA,NA,NA,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 (very well),1 (not well at all),1 (not well at all),5 (very well),2,1 (not well at all),1 (not well at all),5 (very well),5 (very well),Hardworking|Responsible|Violent|Unlawful|Loyal|Intelligent|Honest|Immoral|Uneducated|Lazy,I just think they are like anyone else in our country. Some have had good education and some have not. Some are good people and some are not. It has nothing to do with their immigration status and more to do with their personality and character.,19,Female,NA,White,No,Democrat,NA,NA,Extremely liberal,NA,"My parents, grandparents and I were all born in the USA.",C6,NA,4,4,NA,5,5,NA,1,1,NA,1,1,NA,5,5,NA,2,2,NA,1,1,NA,1,1,NA,5,5,NA,5,5,iouKO,T6,I just think they are like anyone else in our country. Some have had good education and some have not. Some are good people and some are not. It has nothing to do with their immigration status and more to do with their personality and character.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:28,11/17/20 18:30,100,131,TRUE,11/17/20 18:30,anonymous,EN,NA,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5 (very well),2,1 (not well at all),5 (very well),1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),5 (very well),Responsible|Hardworking|Uneducated|Immoral|Honest|Intelligent|Unlawful|Loyal|Lazy|Violent,I view undocumented immigrants as very hardworking because it would be hard to start a new life in a new country.,18,Female,NA,White,Yes,Democrat,NA,NA,Extremely liberal,NA,"My parents, grandparents and I were all born in the USA.",C6,NA,3,3,NA,5,5,NA,2,2,NA,1,1,NA,5,5,NA,1,1,NA,1,1,NA,1,1,NA,5,5,NA,5,5,yTKKH,T6,I view undocumented immigrants as very hardworking because it would be hard to start a new life in a new country.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:33,11/17/20 18:38,100,268,TRUE,11/17/20 18:38,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 (very well),5 (very well),1 (not well at all),1 (not well at all),5 (very well),3,1 (not well at all),1 (not well at all),5 (very well),5 (very well),Unlawful|Loyal|Hardworking|Intelligent|Violent|Responsible|Uneducated|Honest|Immoral|Lazy,"In my opinion, the typical undocumented immigrant has come to the US in search of a better life, and is willing to work as hard as any native-born Americans to get it. Coming in without proper documentation does not automatically make someone a ""criminal"" anymore than jaywalking does. Undocumented immigrants generally commit fewer crimes than people born in the US (perhaps due to fear of unjust deportation for even the smallest crime), which is why it's inaccurate to say undocumented immigrants are criminals. However, at the individual level, I try to avoid generalizing-- I would say that your average undocumented immigrant is, in most ways, very similar to your typical documented immigrant or US-born person, and deserves to be judged on his or her merits, values, and contributions, not on immigration status or country of origin.",21,Male,NA,White,No,Democrat,NA,NA,Liberal,NA,"My parents, grandparents and I were all born in the USA.",C4,NA,5,5,NA,5,5,NA,1,1,NA,1,1,NA,5,5,NA,3,3,NA,1,1,NA,1,1,NA,5,5,NA,5,5,P9yRo,T4,"In my opinion, the typical undocumented immigrant has come to the US in search of a better life, and is willing to work as hard as any native-born Americans to get it. Coming in without proper documentation does not automatically make someone a ""criminal"" anymore than jaywalking does. Undocumented immigrants generally commit fewer crimes than people born in the US (perhaps due to fear of unjust deportation for even the smallest crime), which is why it's inaccurate to say undocumented immigrants are criminals. However, at the individual level, I try to avoid generalizing-- I would say that your average undocumented immigrant is, in most ways, very similar to your typical documented immigrant or US-born person, and deserves to be judged on his or her merits, values, and contributions, not on immigration status or country of origin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:36,11/17/20 18:39,100,185,TRUE,11/17/20 18:39,anonymous,EN,NA,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,3,4,2,2,4,3,3,2,2,3,Hardworking|Responsible|Immoral|Honest|Lazy|Violent|Unlawful|Loyal|Uneducated|Intelligent,"I feel as though illegal immigrants are put into a situation where they have to leave their home because of violence and other social instabilities. Most of them are hardworking individuals who are trying to provide a good life for their children. Although they are breaking the law, there needs to be a system where becoming a citizen would be easier.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male,NA,Asian,No,Democrat,NA,NA,Liberal,NA,"I was born in the USA, but at least one of my parents is an immigrant",C5,3,NA,3,4,NA,4,2,NA,2,2,NA,2,4,NA,4,3,NA,3,3,NA,3,2,NA,2,2,NA,2,3,NA,3,GtIfj,T5,"I feel as though illegal immigrants are put into a situation where they have to leave their home because of violence and other social instabilities. Most of them are hardworking individuals who are trying to provide a good life for their children. Although they are breaking the law, there needs to be a system where becoming a citizen would be easier.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:25,11/17/20 18:42,100,1028,TRUE,11/17/20 18:42,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,2,3,3,1 (not well at all),2,3,2,2,2,2,Lazy|Intelligent|Uneducated|Immoral|Violent|Unlawful|Loyal|Honest|Hardworking|Responsible,It depends on their situation. I don't necessarily have a negative view towards them.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Female,NA,Asian,No,Democrat,NA,NA,Liberal,NA,Other,C1,2,NA,2,3,NA,3,3,NA,3,1,NA,1,2,NA,2,3,NA,3,2,NA,2,2,NA,2,2,NA,2,2,NA,2,PLUtB,T1,It depends on their situation. I don't necessarily have a negative view towards them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,11/17/20 18:44,11/17/20 18:46,100,133,TRUE,11/17/20 18:46,anonymous,EN,NA,Yes,Yes,NA,11/17/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,2,3,2,1 (not well at all),2,3,3,Lazy|Uneducated|Violent|Unlawful|Honest|Responsible|Hardworking|Intelligent|Immoral|Loyal,I have no issues with undocumented immigrants. I feel that all people have the right to leave their country of origin for a better life elsewhere. This being said I also believe that a country has a right to deny those looking to come in if they are a threat to the society. There is a fine line and it must be walked very carefully.,20,Male,NA,Black or African American,No,Democrat,NA,NA,Slightly liberal,NA,"I was born in the USA, but at least one of my parents is an immigrant",C2,NA,3,3,NA,4,4,NA,NA,NA,NA,2,2,NA,3,3,NA,2,2,NA,1,1,NA,2,2,NA,3,3,NA,3,3,t5R4w,T2,I have no issues with undocumented immigrants. I feel that all people have the right to leave their country of origin for a better life elsewhere. This being said I also believe that a country has a right to deny those looking to come in if they are a threat to the society. There is a fine line and it must be walked very carefully.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
