,,,Race & ethnicity,,Nationality,,,,,Occupation,,,,,,Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,ID,Response,Hispanic/Latino,Not Hispanic/Latino,Latin America,Europe,Middle East,Asia,Third-world/poor country,Construction,Food,Gardener,Maid,Unemployed,Job Americans Don't Want,Hardworking,Honest,Loyal,Intelligent,Responsible,Immoral,Lazy,Uneducated,Unlawful,Violent,Family-oriented,Religious/church-going,Poor/low socio-economic status,Stealing American's Jobs,Seeking welfare,Better life,Fleeing/escaping hardship,"No ""typical"" unauthorized immigrant",Criticize US immigration process,"Risk-taking, brave",Contributions to U.S.,Are trying or should try to become legal,Nobody illegal on stolen land,US doesn't treat well,American dream,Unfair/disrespectful to legal immigrants and citizens,Anti-unauthorized immigration = racism,Respondent talks about their connection/experience,Opposition to terminology
T5,O7X31,A criminal and a freeloader.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,ZE3pu,A driven person searching for a better life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,wLYtB,"A family man, who is either trying to make money to send back with the family or is with the family to escape violence at home and to make a better life for themselves.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T3,Cl9n7,A generally lower socioeconomic classed person who works long hours to support their family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,ac3iL,A hard working human that wants a better life.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,z0LrI,"A majority of illegal immigrants come in the form of families including Women and children. But also, a lot of illegal immigrants come searching for jobs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,WOCua,A man who has come looking for work that will in turn allow him to bring or create a family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,1EelD,"A person that crossed the border who is just trying to provide for their family, working harder than the average American.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,ZOK8T,a person trying to live a better life in our country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,Y2qKY,"A person who has been forced to flee their home country and has found refuge in the US, although the government has not provided appropriate resources or space for them",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
