,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q31,Q32_1,Q32_2,Q34,Q35,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_DO,Q3.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.2_DO,Q3.2,Q4,Q5,Q5_3_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q10,Q11,Q12,FL_35_DO
,Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"(Please Complete This Section if You Are in the European Economic Area)



General Data Protection Regulation (GDPR) Notice/Consent

 

The University of Illinois Web Privacy Notice and Supplemental Privacy Notice for certain persons in the European Economic Area describe in detail how the University processes personal information. To assist in the analysis of our research, we ask in the following section certain demographic questions about you. Some of the demographic questions pertain to special categories of personal information under Article 9 of the GDPR. As with all of the questions in the survey, answering the demographic questions is completely voluntary. The legal basis for collecting the special category demographic information is consent, which you may withdraw at any time; however, doing so will not affect the processing of your personal information before your withdrawal of consent.

 

Please print or save a copy of this consent form for your records, if you so desire.","I consent to the collection, use, retention (including through the use of cloud storage services hosted by third parties); and sharing with Isabella Raynal of personal information concerning my: - Racial or ethnic origin","I consent to the collection, use, retention (including through the use of cloud storage services hosted by third parties); and sharing with Isabella Raynal of personal information concerning my: - Political opinions

(Please note, if you select no, you are not eligible for this study. Please email the Subject Pool Coordinator at ps-subjects@illinois.edu to request an alternative assignment to receive extra credit.)","Online Consent


Please click the below and fill out today's date to acknowledge that you
 have read the above statement and that you agree to participate in this
 study. 

Please print or save a copy of this consent form if you would like to retain a copy for your records.",Enter today's date (MM/DD/YYYY),Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Honest,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Hardworking,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Unlawful,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Violent,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Intelligent,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Uneducated,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Lazy,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Immoral,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Loyal,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Responsible,Please tell us how well each of the following words applies to illegal immigrants on a scale from 1 (not well at all) to 5 (very well). - Display Order,Briefly describe your view of the typical illegal immigrant.  Feel free to elaborate on your responses to the previous question and/or to add new information when writing your description.,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Honest,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Hardworking,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Unlawful,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Violent,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Intelligent,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Uneducated,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Lazy,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Immoral,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Loyal,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Responsible,Please tell us how well each of the following words applies to undocumented immigrants on a scale from 1 (not well at all) to 5 (very well). - Display Order,Briefly describe your view of the typical undocumented immigrant.  Feel free to elaborate on your responses to the previous question and/or to add new information when writing your description.,What is your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your race?,"Are you Spanish, Hispanic, or Latino?","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or other? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or other? - Other - Text","Do you think of yourself as closer to the Republican
Party or to the Democratic Party?",Where would you place yourself on this scale?,"If you had to choose, would you consider yourself a liberal or a conservative?",Which of these statements best describes you?,FL_35 - Block Randomizer - Display Order
ID,"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_DO""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_DO""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_4_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID20""}","{""ImportId"":""QID30""}","{""ImportId"":""QID25""}","{""ImportId"":""FL_35_DO""}"
,11/17/20 17:59,11/17/20 18:04,100,342,TRUE,11/17/20 18:04,anonymous,EN,,Yes,Yes,,11/17/20,,,,,,,,,,,,,2,5 (very well),4,1 (not well at all),4,2,1 (not well at all),1 (not well at all),2,2,Responsible|Unlawful|Loyal|Uneducated|Intelligent|Hardworking|Immoral|Violent|Honest|Lazy,"I don’t have a strong opinion on illegal immigrants- I think it should be easier to become a US citizen, so we don’t have such a difficult time with this issue ",19,Male,,White,No,Democrat,,,Liberal,,"My parents, grandparents and I were all born in the USA.",C2
,11/17/20 18:09,11/17/20 18:13,100,238,TRUE,11/17/20 18:13,anonymous,EN,,Yes,Yes,,11/17/20,3,5 (very well),2,3,4,2,3,4,4,4,Uneducated|Unlawful|Immoral|Loyal|Responsible|Violent|Hardworking|Honest|Lazy|Intelligent,Hardworking in pursuit of a better life,,,,,,,,,,,,,20,Female,,Black or African American,No,Democrat,,,Slightly liberal,,"My parents, grandparents and I were all born in the USA.",C5
,11/17/20 18:14,11/17/20 18:16,100,160,TRUE,11/17/20 18:16,anonymous,EN,,Yes,Yes,,11/17/20,,,,,,,,,,,,,3,5 (very well),1 (not well at all),1 (not well at all),4,2,1 (not well at all),1 (not well at all),4,4,Uneducated|Unlawful|Immoral|Responsible|Intelligent|Violent|Honest|Lazy|Loyal|Hardworking,"Intelligent in their own way, hardworking, and willing to make sacrifices in order to better their lives or the lives of their families",21,Female,,Other,Yes,Democrat,,,Liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C4
,11/17/20 18:19,11/17/20 18:23,100,185,TRUE,11/17/20 18:23,anonymous,EN,,Yes,Yes,,11/17/20,2,4,4,2,3,3,1 (not well at all),2,3,3,Honest|Unlawful|Responsible|Immoral|Intelligent|Loyal|Uneducated|Lazy|Violent|Hardworking,either someone from Mexico or Canada who crossed the border illegally or someone who stayed past the expiration of their visa without renewal,,,,,,,,,,,,,19,Male,,White,No,Republican,,,Slightly conservative,,"My parents, grandparents and I were all born in the USA.",C3
,11/17/20 18:23,11/17/20 18:25,100,106,TRUE,11/17/20 18:25,anonymous,EN,,,,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,4,5 (very well),1 (not well at all),1 (not well at all),5 (very well),2,1 (not well at all),1 (not well at all),5 (very well),5 (very well),Hardworking|Responsible|Violent|Unlawful|Loyal|Intelligent|Honest|Immoral|Uneducated|Lazy,I just think they are like anyone else in our country. Some have had good education and some have not. Some are good people and some are not. It has nothing to do with their immigration status and more to do with their personality and character. ,19,Female,,White,No,Democrat,,,Extremely liberal,,"My parents, grandparents and I were all born in the USA.",C6
,11/17/20 18:28,11/17/20 18:30,100,131,TRUE,11/17/20 18:30,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,3,5 (very well),2,1 (not well at all),5 (very well),1 (not well at all),1 (not well at all),1 (not well at all),5 (very well),5 (very well),Responsible|Hardworking|Uneducated|Immoral|Honest|Intelligent|Unlawful|Loyal|Lazy|Violent,I view undocumented immigrants as very hardworking because it would be hard to start a new life in a new country.,18,Female,,White,Yes,Democrat,,,Extremely liberal,,"My parents, grandparents and I were all born in the USA.",C6
,11/17/20 18:33,11/17/20 18:38,100,268,TRUE,11/17/20 18:38,anonymous,EN,"I consent to the processing of my personal information for the purpose of research as set forth in this online Consent Notice. I understand that I may withdraw my consent at any time, but doing so will not affect the processing of my personal information before my withdrawal of consent.",Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,,,,,,,,,,,,,5 (very well),5 (very well),1 (not well at all),1 (not well at all),5 (very well),3,1 (not well at all),1 (not well at all),5 (very well),5 (very well),Unlawful|Loyal|Hardworking|Intelligent|Violent|Responsible|Uneducated|Honest|Immoral|Lazy,"In my opinion, the typical undocumented immigrant has come to the US in search of a better life, and is willing to work as hard as any native-born Americans to get it. Coming in without proper documentation does not automatically make someone a ""criminal"" anymore than jaywalking does. Undocumented immigrants generally commit fewer crimes than people born in the US (perhaps due to fear of unjust deportation for even the smallest crime), which is why it's inaccurate to say undocumented immigrants are criminals. However, at the individual level, I try to avoid generalizing-- I would say that your average undocumented immigrant is, in most ways, very similar to your typical documented immigrant or US-born person, and deserves to be judged on his or her merits, values, and contributions, not on immigration status or country of origin.",21,Male,,White,No,Democrat,,,Liberal,,"My parents, grandparents and I were all born in the USA.",C4
,11/17/20 18:36,11/17/20 18:39,100,185,TRUE,11/17/20 18:39,anonymous,EN,,Yes,Yes,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",11/17/20,3,4,2,2,4,3,3,2,2,3,Hardworking|Responsible|Immoral|Honest|Lazy|Violent|Unlawful|Loyal|Uneducated|Intelligent,"I feel as though illegal immigrants are put into a situation where they have to leave their home because of violence and other social instabilities. Most of them are hardworking individuals who are trying to provide a good life for their children. Although they are breaking the law, there needs to be a system where becoming a citizen would be easier. ",,,,,,,,,,,,,19,Male,,Asian,No,Democrat,,,Liberal,,"I was born in the USA, but at least one of my parents is an immigrant",C5
